query,target,query_first_line,target_first_line,ANI
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/011d7709.k=31.scaled=100.DNA.dup=0.GCA_031980685.1_PDT001837347.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","DAPRWC010000001.1 TPA_asm: Salmonella enterica isolate LJH1046 SAMN33616908-rid18960313.denovo.01, whole genome shotgun sequence",0.9864221634812369
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/015954c2.k=31.scaled=100.DNA.dup=0.GCA_022914615.1_PDT001278791.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABFQYG010000001.1 Salmonella enterica strain PNUSAS264302 SAMN27155688-rid14181183.denovo.01, whole genome shotgun sequence",0.9864338771607785
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/016ed0ef.k=31.scaled=100.DNA.dup=0.GCA_031694335.1_PDT001848623.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABMRCW010000001.1 Salmonella enterica strain PNUSAS371667 SAMN36947149-rid19115853.denovo.01, whole genome shotgun sequence",0.9864190034754233
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/017902ef.k=31.scaled=100.DNA.dup=0.GCA_010411075.1_PDT000312751.2_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AANRXP010000001.1 Salmonella enterica subsp. enterica serovar Mbandaka strain FSIS11809568 SAMN09098766-rid6004843.denovo.01, whole genome shotgun sequence",0.9871423004764291
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/019a5314.k=31.scaled=100.DNA.dup=0.GCA_022362035.1_PDT001252504.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABFDNG010000001.1 Salmonella enterica strain OSF120231 SAMN26101801-rid13974563.denovo.01, whole genome shotgun sequence",0.9863701549258096
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/01b105c0.k=31.scaled=100.DNA.dup=0.GCA_008478675.1_PDT000135004.2_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAKNPV010000001.1 Salmonella enterica subsp. enterica serovar Cerro strain CVM N42506 SAMN05202003-rid5287093.denovo.01, whole genome shotgun sequence",0.9854506570263015
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/01b58810.k=31.scaled=100.DNA.dup=0.GCA_022389225.1_PDT001253921.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABFFEC010000001.1 Salmonella enterica strain PNUSAS259537 SAMN26230244-rid13987913.denovo.01, whole genome shotgun sequence",0.9913135401253296
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/01c5d326.k=31.scaled=100.DNA.dup=0.GCA_009072245.1_PDT000607764.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAMBAC010000001.1 Salmonella enterica strain PNUSAS108327 SAMN13027553-rid8388203.denovo.001, whole genome shotgun sequence",0.9913988404503148
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/01c8e8a2.k=31.scaled=100.DNA.dup=0.GCA_022091855.1_PDT001242676.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABFAPY010000001.1 Salmonella enterica strain PNUSAS257644 SAMN25755248-rid13890153.denovo.01, whole genome shotgun sequence",0.9865133324486108
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/01cc484b.k=31.scaled=100.DNA.dup=0.GCA_006708845.1_PDT000329194.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAGARO010000001.1 Salmonella enterica strain PNUSAS041556 SAMN09405363-rid4631963.denovo.01, whole genome shotgun sequence",0.9864984946681656
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/02a33e6d.k=31.scaled=100.DNA.dup=0.GCA_007446125.1_PDT000499884.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAHZDN010000001.1 Salmonella enterica subsp. enterica serovar Anatum strain FSIS11920332 SAMN11625682-rid7612803.denovo.01, whole genome shotgun sequence",0.9867768695710575
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/02a702f2.k=31.scaled=100.DNA.dup=0.GCA_008541595.1_PDT000584042.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAKTBP010000001.1 Salmonella enterica strain PNUSAS097428 SAMN12723821-rid8208533.denovo.001, whole genome shotgun sequence",0.9856088025541452
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/032b4499.k=31.scaled=100.DNA.dup=0.GCA_025013405.1_PDT001387555.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","DAIZZU010000001.1 TPA_asm: Salmonella enterica strain 1565K SAMEA852496-rid15073663.denovo.001, whole genome shotgun sequence",0.9602987969030212
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/032e0ece.k=31.scaled=100.DNA.dup=0.GCA_014582395.1_PDT000724390.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAWCGS010000001.1 Salmonella enterica subsp. enterica serovar Infantis strain FSIS12030011 SAMN14645646-rid9737583.denovo.001, whole genome shotgun sequence",0.9866316493789836
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/039228ce.k=31.scaled=100.DNA.dup=0.GCA_013501395.1_PDT000785155.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAUBGO010000001.1 Salmonella enterica strain PNUSAS151935 SAMN15493552-rid10123333.denovo.01, whole genome shotgun sequence",0.9865091145450908
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/03d307a3.k=31.scaled=100.DNA.dup=0.GCA_027891855.1_PDT001570557.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABKCVS010000001.1 Salmonella enterica strain PNUSAS326285 SAMN32644113-rid16681723.denovo.01, whole genome shotgun sequence",0.9998185392030486
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/04264986.k=31.scaled=100.DNA.dup=0.GCA_006319865.1_PDT000304767.2_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAFDQT010000001.1 Salmonella enterica strain PNUSAS038193 SAMN08898133-rid5964193.denovo.01, whole genome shotgun sequence",0.9866590748608562
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/05c21987.k=31.scaled=100.DNA.dup=0.GCA_023785795.1_PDT001326058.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABGPLZ010000001.1 Salmonella enterica strain PNUSAS275681 SAMN28934872-rid14589843.denovo.001, whole genome shotgun sequence",0.9861675655095886
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/063d2b6e.k=31.scaled=100.DNA.dup=0.GCA_023478025.1_PDT001310271.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABGGKO010000001.1 Salmonella enterica strain PNUSAS271775 SAMN28488620-rid14451103.denovo.001, whole genome shotgun sequence",0.986288204830631
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/065b7d7d.k=31.scaled=100.DNA.dup=0.GCA_011276005.1_PDT000672580.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAPSNH010000001.1 Salmonella enterica subsp. enterica serovar Typhimurium strain FSIS22026832 SAMN13944338-rid8950413.denovo.001, whole genome shotgun sequence",0.986363775904732
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/06aeacc2.k=31.scaled=100.DNA.dup=0.GCA_008189465.1_PDT000574222.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAJVOU010000001.1 Salmonella enterica strain PNUSAS092872 SAMN12641618-rid8123313.denovo.001, whole genome shotgun sequence",0.9916533868539412
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/0712dbeb.k=31.scaled=100.DNA.dup=0.GCA_038219225.1_PDT002138730.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","ABRSLV010000001.1 Salmonella enterica strain PNUSAS431330 SAMN40972177-rid21442173.denovo.01, whole genome shotgun sequence",0.9595177297511223
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/0758c2f4.k=31.scaled=100.DNA.dup=0.GCA_007880505.1_PDT000551674.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAJBYB010000001.1 Salmonella enterica strain PNUSAS084237 SAMN12404849-rid7929093.denovo.01, whole genome shotgun sequence",0.9612738979957551
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/0760c170.k=31.scaled=100.DNA.dup=0.GCA_042830465.1_PDT002088035.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","DAXOZO010000001.1 TPA_asm: Salmonella enterica strain S.mbandaka isolate patient 152 SAMN29043036-rid21120713.denovo.01, whole genome shotgun sequence",0.9871558048564556
/scratch/dmk333_new/temp/Salmonella/Salmonella/target_genomes/ABLENI010000000.fasta.sig,/scratch/dmk333_new/temp/Salmonella/Salmonella/sketches/0763b02d.k=31.scaled=100.DNA.dup=0.GCA_007888825.1_PDT000553532.1_genomic.fna.sig,"ABLENI010000000.1 gi|0|gb|ABLENI010000001.1| SAMN33902348-rid17487763.denovo.01, whole genome shotgun sequence length=1047597","AAJCNY010000001.1 Salmonella enterica strain PNUSAS086556 SAMN12423659-rid7947423.denovo.01, whole genome shotgun sequence",0.9867306210174244
